customRiskId,assetId,vulnerability,threat,identifiedRisk,detail,category_title,source_title,owner_email,context_name,isConfidentiality,isIntegrity,isAvailability,impactSeverity,likelihoodOccurence,detection
RISK-011,550e8400-e29b-41d4-a716-446655440910,"Kapasitas server tidak scaling","Traffic spike","Lonjakan beban (high season) menyebabkan layanan lambat/timeout","Ujian/pelaporan membuat akses massal; sistem tidak responsif","Ketersediaan Layanan","Teknis/Sistem","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,5,3,3
RISK-012,550e8400-e29b-41d4-a716-446655440910,"Tidak ada proteksi rate limit/WAF memadai","Denial of Service","Serangan DoS terhadap layanan akademik","Layanan tidak bisa diakses selama serangan","Ketersediaan Layanan","Sumber Eksternal","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,4,2,2
RISK-013,550e8400-e29b-41d4-a716-446655440911,"Backup power/UPS terbatas","Power outage","Kegagalan listrik di ruang server","Downtime mendadak saat pembelajaran","Ketersediaan Layanan","Lingkungan","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,4,3,3
RISK-014,550e8400-e29b-41d4-a716-446655440910,"Kontrol suhu/monitoring terbatas","Environmental failure","Overheating/lingkungan ruang server tidak ideal","Overheat bisa menyebabkan shutdown/kerusakan","Ketersediaan Layanan","Lingkungan","sarpras@smktelkom-mlg.sch.id","Pengelolaan Infrastruktur TI",false,false,true,4,2,2
RISK-015,550e8400-e29b-41d4-a716-446655440910,"Praktik akses admin belum ketat","Unauthorized admin access","Kompromi server akibat akun admin lemah/berbagi akses","Jika admin server diambil alih, semua layanan terdampak","Keamanan Sistem","Sumber Internal","sarpras@smktelkom-mlg.sch.id","Pengelolaan Infrastruktur TI",true,true,true,5,2,2
RISK-016,550e8400-e29b-41d4-a716-446655440911,"Hardening server belum optimal","Remote exploitation","Remote access server tidak aman (mis. port terbuka, konfigurasi lemah)","Akses jarak jauh jadi pintu masuk penyerang","Keamanan Sistem","Sumber Eksternal","sarpras@smktelkom-mlg.sch.id","Pengelolaan Infrastruktur TI",true,true,true,4,2,2
RISK-017,550e8400-e29b-41d4-a716-446655440914,"Backup management lemah","Data leakage via backup","Kebocoran data dari backup (backup tidak terenkripsi/terkendali)","Backup sering jadi jalur kebocoran karena disalin/diakses","Keamanan Data","Sumber Internal","it@smktelkom-mlg.sch.id","Kepatuhan dan Perlindungan Data",true,false,false,5,2,2
RISK-018,550e8400-e29b-41d4-a716-446655440914,"Tidak ada uji pemulihan berkala","Backup failure","Backup gagal / tidak pernah diuji restore","Saat insiden, data tidak bisa dipulihkan","Keamanan Data","Teknis/Sistem","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,true,5,2,2
RISK-019,550e8400-e29b-41d4-a716-446655440914,"Monitoring DB terbatas","Database corruption","Korupsi database (corruption) menyebabkan data tidak konsisten","Data nilai/jadwal bisa rusak dan sulit diperbaiki","Integritas Sistem","Teknis/Sistem","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,true,4,2,2
RISK-020,550e8400-e29b-41d4-a716-446655440904,"Akses vendor tidak dibatasi waktu & scope","Third-party misuse","Kebocoran data melalui akun pihak ketiga (vendor/maintenance)","Akses vendor bisa jadi jalur kebocoran bila tidak dikontrol","Keamanan Data","Pihak Ketiga","sarpras@smktelkom-mlg.sch.id","Kepatuhan dan Perlindungan Data",true,false,false,5,2,2
RISK-021,550e8400-e29b-41d4-a716-446655440904,"Logging terlalu verbose","Sensitive data exposure","Log aplikasi menyimpan data sensitif (PII)","PII terekam di log dan dapat diakses admin/dev","Keamanan Aplikasi","Teknis/Sistem","it@smktelkom-mlg.sch.id","Kepatuhan dan Perlindungan Data",true,false,false,4,2,2
RISK-022,550e8400-e29b-41d4-a716-446655440904,"Kebijakan retensi & penghapusan data belum formal","Non-compliance","Retensi data tidak jelas (data disimpan terlalu lama)","Risiko kepatuhan & paparan data meningkat","Kepatuhan","Sumber Internal","it@smktelkom-mlg.sch.id","Kepatuhan dan Perlindungan Data",true,false,false,4,3,3
RISK-023,550e8400-e29b-41d4-a716-446655440902,"Mekanisme recovery lemah","Account takeover","Penyalahgunaan fitur reset password / recovery","Akun guru/admin diambil alih via recovery","Keamanan Aplikasi","Sumber Eksternal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,true,false,4,2,2
RISK-024,550e8400-e29b-41d4-a716-446655440904,"Proses approval tidak ada/kurang ketat","Human error / misuse","Perubahan profil siswa tidak sesuai SOP (admin akademik)","Perubahan data identitas mempengaruhi legalitas dokumen","Integritas Sistem","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",false,true,false,3,2,2
RISK-025,550e8400-e29b-41d4-a716-446655440905,"Offboarding akun tidak disiplin","Unauthorized access","Akses data akademik oleh pengguna yang sudah tidak berhak (akun tidak dinonaktifkan)","Akun alumni/pegawai lama masih aktif","Keamanan Data","Sumber Internal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,false,false,4,3,3
RISK-026,550e8400-e29b-41d4-a716-446655440914,"Tidak ada replikasi/HA","System failure","Single point of failure pada database akademik","Jika DB down, semua aplikasi akademik ikut down","Ketersediaan Layanan","Teknis/Sistem","it@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,5,2,2
RISK-027,550e8400-e29b-41d4-a716-446655440910,"Proteksi endpoint/server terbatas","Ransomware","Ransomware berdampak pada server akademik/LMS","Data terenkripsi, layanan berhenti, pemulihan sulit","Keamanan Sistem","Sumber Eksternal","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,true,true,5,2,2
RISK-028,550e8400-e29b-41d4-a716-446655440905,"Kontrol & respons insiden belum teruji","Public disclosure","Insiden data akademik viral di publik","Dampak reputasi tinggi walau kebocoran kecil","Reputasi","Sumber Eksternal","it@smktelkom-mlg.sch.id","Layanan Akademik",true,false,false,4,2,2
RISK-029,550e8400-e29b-41d4-a716-446655440911,"Monitoring kapasitas terbatas","Storage failure","Kegagalan storage (disk penuh/kerusakan) pada server","Disk penuh memicu error upload tugas/akses materi","Ketersediaan Layanan","Teknis/Sistem","sarpras@smktelkom-mlg.sch.id","Layanan Akademik",false,false,true,4,3,3
